"Activity/Subject"	"tbodyacc-Mean-X"	"tbodyacc-Mean-Y"	"tbodyacc-Mean-Z"	"tgravityacc-Mean-X"	"tgravityacc-Mean-Y"	"tgravityacc-Mean-Z"	"tbodyaccjerk-Mean-X"	"tbodyaccjerk-Mean-Y"	"tbodyaccjerk-Mean-Z"	"tbodygyro-Mean-X"	"tbodygyro-Mean-Y"	"tbodygyro-Mean-Z"	"tbodygyrojerk-Mean-X"	"tbodygyrojerk-Mean-Y"	"tbodygyrojerk-Mean-Z"	"tbodyaccmag-Mean"	"tgravityaccmag-Mean"	"tbodyaccjerkmag-Mean"	"tbodygyromag-Mean"	"tbodygyrojerkmag-Mean"	"fbodyacc-Mean-X"	"fbodyacc-Mean-Y"	"fbodyacc-Mean-Z"	"fbodyacc-Meanfreq-X"	"fbodyacc-Meanfreq-Y"	"fbodyacc-Meanfreq-Z"	"fbodyaccjerk-Mean-X"	"fbodyaccjerk-Mean-Y"	"fbodyaccjerk-Mean-Z"	"fbodyaccjerk-Meanfreq-X"	"fbodyaccjerk-Meanfreq-Y"	"fbodyaccjerk-Meanfreq-Z"	"fbodygyro-Mean-X"	"fbodygyro-Mean-Y"	"fbodygyro-Mean-Z"	"fbodygyro-Meanfreq-X"	"fbodygyro-Meanfreq-Y"	"fbodygyro-Meanfreq-Z"	"fbodyaccmag-Mean"	"fbodyaccmag-Meanfreq"	"fbodybodyaccjerkmag-Mean"	"fbodybodyaccjerkmag-Meanfreq"	"fbodybodygyromag-Mean"	"fbodybodygyromag-Meanfreq"	"fbodybodygyrojerkmag-Mean"	"fbodybodygyrojerkmag-Meanfreq"	"angle(tbodyaccMean,gravity)"	"angle(tbodyaccjerkMean),gravityMean)"	"angle(tbodygyroMean,gravityMean)"	"angle(tbodygyrojerkMean,gravityMean)"	"angle(x,gravityMean)"	"angle(y,gravityMean)"	"angle(z,gravityMean)"	"tbodyacc-STD-X"	"tbodyacc-STD-Y"	"tbodyacc-STD-Z"	"tgravityacc-STD-X"	"tgravityacc-STD-Y"	"tgravityacc-STD-Z"	"tbodyaccjerk-STD-X"	"tbodyaccjerk-STD-Y"	"tbodyaccjerk-STD-Z"	"tbodygyro-STD-X"	"tbodygyro-STD-Y"	"tbodygyro-STD-Z"	"tbodygyrojerk-STD-X"	"tbodygyrojerk-STD-Y"	"tbodygyrojerk-STD-Z"	"tbodyaccmag-STD"	"tgravityaccmag-STD"	"tbodyaccjerkmag-STD"	"tbodygyromag-STD"	"tbodygyrojerkmag-STD"	"fbodyacc-STD-X"	"fbodyacc-STD-Y"	"fbodyacc-STD-Z"	"fbodyaccjerk-STD-X"	"fbodyaccjerk-STD-Y"	"fbodyaccjerk-STD-Z"	"fbodygyro-STD-X"	"fbodygyro-STD-Y"	"fbodygyro-STD-Z"	"fbodyaccmag-STD"	"fbodybodyaccjerkmag-STD"	"fbodybodygyromag-STD"	"fbodybodygyrojerkmag-STD"
"1"	"LAYING"	0.2686	-0.01832	-0.1074	-0.375	0.6223	0.5556	0.08185	0.011172	-0.00486	-0.01673	-0.09341	0.12589	-0.10186	-0.0382	-0.06385	-0.9411	-0.9411	-0.9792	-0.9384	-0.9827	-0.9668	-0.9527	-0.96002	-0.25938	0.14305	0.20319	-0.9802	-0.9714	-0.9766	0.10518	0.004854	0.06996	-0.9629	-0.9676	-0.9642	-0.01746	-0.13934	0.1133	-0.9477	0.1162	-0.9743	0.2811	-0.9549	-0.02937	-0.978	0.165728	0.010366	0.01601	0.02279	0.009191	0.52026	-0.4359	-0.4277	-0.96093	-0.9435	-0.9481	-0.9433	-0.9632	-0.9519	-0.9804	-0.9711	-0.9795	-0.96789	-0.9632	-0.9635	-0.9761	-0.9805	-0.9848	-0.9322	-0.9322	-0.9742	-0.9406	-0.9768	-0.95903	-0.9425	-0.9456	-0.9825	-0.9731	-0.981	-0.9697	-0.9614	-0.9667	-0.9349	-0.9732	-0.9421	-0.9766
"2"	"SITTING"	0.2731	-0.01269	-0.1055	0.8797	0.10871	0.153774	0.07588	0.005047	-0.0024867	-0.03843	-0.07212	0.07778	-0.09565	-0.04078	-0.05076	-0.9546	-0.9546	-0.9824	-0.9467	-0.9879	-0.9831	-0.94792	-0.95703	-0.04264	0.0653	0.0803	-0.9852	-0.974	-0.9796	0.18501	-0.05831	0.002996	-0.9773	-0.9725	-0.961	0.06259	-0.21803	-0.0127	-0.95241	0.1141	-0.9787	0.2815	-0.9643	-0.07644	-0.9853	0.1777386	0.01203	0.002458	0.013413	-0.03326	-0.706	0.00614	-0.08953	-0.9834	-0.9349	-0.939	-0.9797	-0.9577	-0.9474	-0.985	-0.9739	-0.9823	-0.981	-0.9667	-0.958	-0.9857	-0.9865	-0.9838	-0.9393	-0.9393	-0.9789	-0.9512	-0.9846	-0.9837	-0.9325	-0.9343	-0.9862	-0.9758	-0.9837	-0.9823	-0.964	-0.961	-0.942	-0.9782	-0.95164	-0.9845
"3"	"STANDING"	0.2792	-0.01615	-0.1066	0.9415	-0.1842	-0.01405	0.07503	0.008805	-0.0045821	-0.02669	-0.06771	0.08014	-0.09973	-0.04232	-0.0521	-0.9542	-0.9542	-0.9771	-0.9422	-0.9787	-0.9816	-0.9431	-0.9574	0.0156	-0.03327	0.05247	-0.98	-0.9645	-0.9762	0.2029	-0.13189	0.0067	-0.9437	-0.9653	-0.9584	-0.2275	-0.21601	-0.09143	-0.9559	0.04849	-0.9711	0.25127	-0.9479	-0.183705	-0.9749	0.08486	0.006991	0.0104	0.004614	0.01596	-0.7741	0.20982	0.03174	-0.9844	-0.9325	-0.9399	-0.988	-0.9694	-0.9531	-0.98	-0.9643	-0.9795	-0.9455	-0.9613	-0.9571	-0.967	-0.9803	-0.9771	-0.94653	-0.94653	-0.9715	-0.9295	-0.9735	-0.9859	-0.93113	-0.9354	-0.9818	-0.9668	-0.9815	-0.947	-0.9595	-0.9607	-0.949602	-0.9709	-0.9306	-0.9735
"4"	"WALKING"	0.2763	-0.017907	-0.10888	0.935	-0.1967	-0.05383	0.07672	0.01151	-0.002319	-0.034728	-0.06942	0.08636	-0.094301	-0.04457	-0.05401	-0.1679	-0.1679	-0.2415	-0.2749	-0.4605	-0.2979	-0.04234	-0.3418	-0.2869	0.05186	0.07496	-0.3111	-0.1704	-0.451	-0.2584	-0.3547	-0.2407	-0.3482	-0.3884	-0.3104	-0.06774	-0.09845	-0.07218	-0.2756	0.18442	-0.2147	0.07731	-0.4092	0.1632	-0.5155	0.13081	0.01492	-0.007011	0.01133	-0.01944	-0.7619	0.2186	0.05977	-0.3146	-0.02358	-0.2739	-0.9776	-0.9669	-0.9546	-0.2673	-0.10314	-0.4791	-0.4699	-0.3479	-0.3384	-0.3762	-0.5126	-0.4474	-0.3378	-0.3378	-0.21456	-0.3826	-0.4988	-0.3228	-0.07721	-0.2961	-0.2879	-0.09087	-0.5063	-0.5104	-0.332	-0.4106	-0.48	-0.22162	-0.4738	-0.5144
"5"	"WALKING_DOWNSTAIRS"	0.2881	-0.0163119	-0.10576	0.9265	-0.16851	-0.04797	0.08923	0.0007467	-0.008729	-0.08403	-0.05299	0.09468	-0.07285	-0.05126	-0.0547	0.10125	0.10125	-0.111802	-0.12979	-0.4169	0.03526	0.05668	-0.21373	-0.4	0.0006031	0.09243	-0.0723	-0.11638	-0.3332	-0.3149	-0.386	-0.2374	-0.21792	-0.3176	-0.16563	-0.17002	-0.04409	-0.01879	0.142849	0.02504	0.004763	0.02007	-0.2895	0.06717	-0.438	0.09576	-0.03969	-0.01866	0.2036	-0.07603	-0.7809	0.200189	0.05587	0.1008	0.05955	-0.1908	-0.9497	-0.9343	-0.9125	-0.03388	-0.07367	-0.3887	-0.3338	-0.3396	-0.2728	-0.3827	-0.4659	-0.3265	0.116489	0.116489	-0.01122	-0.2514	-0.4409	0.12194	-0.008234	-0.2459	-0.08219	-0.09142	-0.4436	-0.3751	-0.3619	-0.3804	-0.07543	-0.04227	-0.3612	-0.4864
"6"	"WALKING_UPSTAIRS"	0.26229	-0.025923	-0.12054	0.875	-0.2814	-0.1408	0.07673	0.008759	-0.0060095	0.006824	-0.08852	0.05989	-0.112117	-0.03862	-0.05258	-0.100204	-0.100204	-0.3909	-0.17828	-0.608047	-0.2934	-0.134951	-0.3681	-0.4367	-0.16985	-0.2652	-0.3899	-0.3647	-0.5917	-0.3391	-0.4525	-0.4412	-0.3942	-0.4593	-0.2969	-0.21284	-0.3195	-0.2603	-0.262	-0.05322	-0.354	0.06287	-0.4498	-0.16871	-0.6587	0.09411	0.03537	0.006652	-0.1299	0.03643	-0.638	0.2786	0.12279	-0.238	-0.01603	-0.17545	-0.9482	-0.9255	-0.9019	-0.3609	-0.3392	-0.62706	-0.4676	-0.3442	-0.2371	-0.5531	-0.6673	-0.561	-0.2499	-0.2499	-0.3854	-0.3371	-0.6668	-0.2189	-0.02181	-0.1466	-0.389	-0.3576	-0.66159	-0.4953	-0.2932	-0.292	-0.36175	-0.4342	-0.3814	-0.70308
"7"	"1"	0.2657	-0.018298	-0.10785	0.7449	-0.08256	0.07234	0.07709	0.01659	-0.009108	-0.02088	-0.08807	0.08626	-0.09711	-0.041716	-0.047139	-0.45363	-0.45363	-0.54543	-0.4754	-0.63952	-0.5319	-0.40644	-0.5964	-0.180559	0.05763	0.05837	-0.5473	-0.5073	-0.69531	-0.0488	-0.21528	-0.09645	-0.6232	-0.5053	-0.5535	-0.03203	-0.09015	-0.01801	-0.4784	0.14206	-0.49908	0.20006	-0.535	0.06493	-0.64597	0.19803	0.037608	0.009018	-0.01345	-0.00163	-0.5358	0.1228	-0.03908	-0.5458	-0.36772	-0.5026	-0.9599	-0.9512	-0.9258	-0.5247	-0.47041	-0.71732	-0.68656	-0.45098	-0.5975	-0.63781	-0.6345	-0.664592	-0.4971	-0.4971	-0.51592	-0.4998	-0.65205	-0.5531	-0.39015	-0.4986	-0.544	-0.466252	-0.7379	-0.70826	-0.429826	-0.65048	-0.5897	-0.5418	-0.5666	-0.68581
"8"	"2"	0.27311	-0.01913	-0.11565	0.6608	-0.1472	0.13487	0.07854	0.007088	0.0007558	-0.0517	-0.05684	0.08726	-0.08756	-0.0434	-0.05575	-0.5353	-0.5353	-0.5878	-0.61477	-0.7466	-0.5738	-0.43257	-0.6301	-0.10676	0.10573	0.08721	-0.5617	-0.5089	-0.71575	0.0868	-0.13978	-0.09427	-0.6387	-0.72207	-0.6016	-0.005765	-0.07022	0.05136	-0.5146	0.1922	-0.5097	0.19307	-0.6997	0.04713	-0.75162	0.12461	0.009872	0.01404	0.07459	-0.03729	-0.4345	0.1723	-0.078866	-0.6056	-0.42896	-0.5894	-0.963	-0.96	-0.9454	-0.5578	-0.49188	-0.7419	-0.71065	-0.7229	-0.6349	-0.6717	-0.7836	-0.6746	-0.5528	-0.5528	-0.5121	-0.6806	-0.7401	-0.6198	-0.46472	-0.6007	-0.5951	-0.50915	-0.7671	-0.73459	-0.7272	-0.6831	-0.6467	-0.5188	-0.7253	-0.7442
"9"	"3"	0.2734	-0.017856	-0.10649	0.7078	-0.02606	0.04809	0.07017	0.01447	-0.0005268	-0.02485	-0.07436	0.08669	-0.09916	-0.04019	-0.05212	-0.5631	-0.5631	-0.6502	-0.6432	-0.7841	-0.6257	-0.50178	-0.6997	-0.1928	0.03893	0.004473	-0.6459	-0.5829	-0.7801	-0.04769	-0.23687	-0.19366	-0.6421	-0.7751	-0.67073	-0.10257	-0.16767	-0.03219	-0.5791	0.07707	-0.6048	0.11232	-0.71682	-0.08461	-0.8101	0.05996	0.01409	0.01345	0.0359	-0.01921	-0.5033	0.07563	-0.01749	-0.6234	-0.48002	-0.6536	-0.9665	-0.9446	-0.927	-0.6355	-0.5572	-0.7961	-0.6993	-0.763	-0.7095	-0.68933	-0.8427	-0.74303	-0.5912	-0.5912	-0.6077	-0.674	-0.8037	-0.6238	-0.50275	-0.6574	-0.6578	-0.5599	-0.8108	-0.7193	-0.7585	-0.751	-0.6631	-0.6156	-0.7038	-0.81
"10"	"4"	0.2742	-0.014808	-0.10752	0.7066	0.11259	0.16413	0.07886	0.003513	-0.007374	-0.028942	-0.07872	0.09572	-0.10786	-0.04004	-0.05781	-0.5616	-0.5616	-0.65612	-0.656291	-0.8192	-0.6288	-0.5258	-0.7552	-0.184519	0.08477	-0.01641	-0.652	-0.6017	-0.8252	-0.000544	-0.180584	-0.1106	-0.6419	-0.8315	-0.68931	-0.1185	-0.3753	0.02419	-0.6021	0.09636	-0.63502	0.16048	-0.74565	-0.1293	-0.8388	0.15908	0.008033	-0.01114	0.02708	0.011778	-0.5765	-0.03236	-0.09546	-0.6052	-0.5099	-0.7095	-0.9626	-0.94142	-0.9414	-0.63185	-0.5841	-0.8434	-0.7014	-0.7982	-0.7264	-0.7238	-0.9025	-0.7484	-0.6066	-0.6066	-0.64725	-0.7067	-0.8442	-0.5976	-0.5347	-0.7088	-0.64462	-0.5939	-0.8605	-0.7217	-0.7829	-0.7671	-0.67295	-0.6665	-0.7326	-0.8631
